,action,value
2021-05-27,DIVIDEND,0.71
2021-03-30,DIVIDEND,0.71
2020-12-30,DIVIDEND,0.71
2020-09-29,DIVIDEND,0.68
2020-06-29,DIVIDEND,0.68
2020-03-30,DIVIDEND,0.68
2019-12-30,DIVIDEND,0.65
2019-09-27,DIVIDEND,0.65
2019-06-27,DIVIDEND,0.65
2019-03-28,DIVIDEND,0.65
2018-12-28,DIVIDEND,0.6
2018-09-27,DIVIDEND,0.6
2018-06-28,DIVIDEND,0.6
2018-03-28,DIVIDEND,0.6
2017-12-28,DIVIDEND,0.53
2017-09-28,DIVIDEND,0.53
2017-06-28,DIVIDEND,0.53
2017-03-29,DIVIDEND,0.53
2016-12-28,DIVIDEND,0.48
2016-09-28,DIVIDEND,0.48
