,action,value
2021-08-12,DIVIDEND,0.55
2021-05-06,DIVIDEND,0.55
2021-03-18,DIVIDEND,0.55
2020-12-10,DIVIDEND,0.54
2020-08-13,DIVIDEND,0.54
2020-05-07,DIVIDEND,0.54
2020-03-19,DIVIDEND,0.54
2019-12-05,DIVIDEND,0.53
2019-08-08,DIVIDEND,0.53
2019-05-09,DIVIDEND,0.53
2019-03-14,DIVIDEND,0.53
2018-12-06,DIVIDEND,0.52
2018-08-09,DIVIDEND,0.52
2018-05-10,DIVIDEND,0.52
2018-03-08,DIVIDEND,0.52
2017-12-07,DIVIDEND,0.51
2017-12-06,DIVIDEND,0.51
2017-08-09,DIVIDEND,0.51
2017-05-10,DIVIDEND,0.51
2017-03-08,DIVIDEND,0.51
2016-12-07,DIVIDEND,0.5
