,action,value
2021-06-24,DIVIDEND,0.63
2021-03-09,DIVIDEND,0.12
2020-12-14,DIVIDEND,0.12
2020-09-14,DIVIDEND,0.12
2020-06-22,DIVIDEND,0.12
2020-03-10,DIVIDEND,0.11
2019-11-21,DIVIDEND,0.86
2019-09-18,DIVIDEND,0.11
2019-06-17,DIVIDEND,0.61
2019-04-03,SPLIT,0.6666666666666666
2019-03-13,DIVIDEND,0.15
2019-03-12,SPLIT,1.0
2018-11-27,DIVIDEND,0.333333
2018-09-18,DIVIDEND,0.333333
2018-06-14,DIVIDEND,0.1
2018-06-08,DIVIDEND,0.333333
2018-03-13,DIVIDEND,0.093333
2017-11-29,DIVIDEND,0.333333
2017-09-19,DIVIDEND,0.093333
2017-06-13,DIVIDEND,0.333333
2017-03-13,DIVIDEND,0.086667
2016-11-29,DIVIDEND,0.086667
2016-11-09,DIVIDEND,0.333333
2016-09-16,DIVIDEND,0.333333
