,action,value
2021-06-15,DIVIDEND,0.235
2021-03-16,DIVIDEND,0.235
2020-12-18,DIVIDEND,0.225
2020-09-15,DIVIDEND,0.225
2020-06-15,DIVIDEND,0.225
2020-03-16,DIVIDEND,0.225
2019-12-16,DIVIDEND,0.2
2019-09-13,DIVIDEND,0.2
2019-06-13,DIVIDEND,0.2
2019-03-14,DIVIDEND,0.2
2018-12-14,DIVIDEND,0.19
2018-09-13,DIVIDEND,0.19
2018-06-14,DIVIDEND,0.19
2018-03-15,DIVIDEND,0.19
2017-12-15,DIVIDEND,0.175
2017-09-14,DIVIDEND,0.175
2017-06-14,DIVIDEND,0.175
2017-03-15,DIVIDEND,0.175
2016-12-15,DIVIDEND,0.16
2016-09-14,DIVIDEND,0.16
