,action,value
2021-08-12,DIVIDEND,0.87
2021-05-12,DIVIDEND,0.87
2021-02-09,DIVIDEND,0.87
2020-11-10,DIVIDEND,0.87
2020-08-12,DIVIDEND,0.87
2020-05-12,DIVIDEND,0.87
2020-02-10,DIVIDEND,0.87
2019-11-08,DIVIDEND,0.87
2019-08-12,DIVIDEND,0.87
2019-05-10,DIVIDEND,0.87
2019-02-08,DIVIDEND,0.82
2018-11-09,DIVIDEND,0.82
2018-08-10,DIVIDEND,0.82
2018-05-11,DIVIDEND,0.82
2018-02-09,DIVIDEND,0.77
2017-11-10,DIVIDEND,0.77
2017-08-10,DIVIDEND,0.77
2017-05-10,DIVIDEND,0.77
2017-02-08,DIVIDEND,0.75
2016-11-08,DIVIDEND,0.75
