,action,value
2021-08-26,DIVIDEND,0.5
2021-05-27,DIVIDEND,0.5
2021-02-11,DIVIDEND,0.5
2020-11-24,DIVIDEND,0.47
2020-08-25,DIVIDEND,0.47
2020-05-28,DIVIDEND,0.47
2020-02-13,DIVIDEND,0.47
2019-11-20,DIVIDEND,0.42
2019-08-16,DIVIDEND,0.42
2019-05-15,DIVIDEND,0.42
2019-02-13,DIVIDEND,0.42
2018-11-23,DIVIDEND,0.36
2018-08-17,DIVIDEND,0.36
2018-05-15,DIVIDEND,0.36
2018-02-13,DIVIDEND,0.36
2017-11-14,DIVIDEND,0.3
2017-07-12,DIVIDEND,0.3
2017-04-11,DIVIDEND,0.3
2017-01-11,DIVIDEND,0.3
2016-11-01,SPLIT,0.7189072609633357
2016-10-17,DIVIDEND,0.36664
